estate_name,retailer,product_url,url_template,price_selector,vintage_start,vintage_end,bottle_size,active,wine_color,notes,date_added
Chateau Carbonnieux,12bouteilles,https://www.12bouteilles.com/fr/chateau-carbonnieux/1276-chateau-carbonnieux-2015-rouge.html,,span.prix_unit,2015,2015,0.75L,TRUE,Rouge,Explicit URL,
Chateau Carbonnieux,12bouteilles,https://www.12bouteilles.com/fr/chateau-carbonnieux/1616-chateau-carbonnieux-2016-rouge-pessac-leognan-cru-classe.html,,span.prix_unit,2016,2016,0.75L,TRUE,Rouge,Explicit URL,
Chateau Carbonnieux,12bouteilles,https://www.12bouteilles.com/fr/chateau-carbonnieux/3203-chateau-carbonnieux-2017.html,,span.prix_unit,2017,2017,0.75L,TRUE,Rouge,Explicit URL,
Chateau Carbonnieux,12bouteilles,https://www.12bouteilles.com/fr/chateau-carbonnieux/1893-chateau-carbonnieux-2018.html,,span.prix_unit,2018,2018,0.75L,TRUE,Rouge,Explicit URL,
Chateau Carbonnieux,12bouteilles,https://www.12bouteilles.com/fr/chateau-carbonnieux/2350-chateau-carbonnieux-2019.html,,span.prix_unit,2019,2019,0.75L,TRUE,Rouge,Explicit URL,
Chateau Carbonnieux,12bouteilles,https://www.12bouteilles.com/fr/chateau-carbonnieux/2896-chateau-carbonnieux-2020.html,,span.prix_unit,2020,2020,0.75L,TRUE,Rouge,Explicit URL,
Chateau Carbonnieux,12bouteilles,https://www.12bouteilles.com/fr/chateau-carbonnieux/3690-chateau-carbonnieux-2021.html,,span.prix_unit,2021,2021,0.75L,TRUE,Rouge,Explicit URL,
Chateau Carbonnieux,12bouteilles,https://www.12bouteilles.com/fr/chateau-carbonnieux/4346-chateau-carbonnieux-2022.html,,span.prix_unit,2022,2022,0.75L,TRUE,Rouge,Explicit URL,
Chateau Carbonnieux,12bouteilles,https://www.12bouteilles.com/fr/chateau-carbonnieux/5541-chateau-carbonnieux-2024.html,,span.prix_unit,2024,2024,0.75L,TRUE,Rouge,Explicit URL,
Chateau Larrivet Haut-Brion,12bouteilles,https://www.12bouteilles.com/fr/chateau-larrivet-haut-brion/2148-chateau-larrivet-haut-brion-2015.html,,span.prix_unit,2015,2015,0.75L,TRUE,Rouge,Explicit URL,
Chateau Larrivet Haut-Brion,12bouteilles,https://www.12bouteilles.com/fr/chateau-larrivet-haut-brion/1110-chateau-larrivet-haut-brion-2016.html,,span.prix_unit,2016,2016,0.75L,TRUE,Rouge,Explicit URL,
Chateau Larrivet Haut-Brion,12bouteilles,https://www.12bouteilles.com/fr/chateau-larrivet-haut-brion/3210-chateau-larrivet-haut-brion-2017-rouge.html,,span.prix_unit,2017,2017,0.75L,TRUE,Rouge,Explicit URL,
